Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,Age,AveMonthSpend
Partial College,Manual,F,M,1,0,1,1,12099,37,47
Graduate Degree,Clerical,F,M,1,0,0,4,61398,37,51
High School,Manual,M,S,0,1,1,1,27921,38,73
High School,Manual,F,S,0,1,1,1,21379,38,45
Partial College,Manual,M,S,0,0,1,1,19588,38,72
Partial College,Manual,F,S,0,0,1,1,14926,38,47
Partial College,Manual,F,S,0,0,1,1,13180,38,46
Partial College,Manual,M,M,1,0,1,1,30362,38,76
Partial College,Manual,M,S,0,0,1,1,33055,38,74
Partial College,Manual,M,M,1,0,1,1,20933,38,75
Partial College,Manual,F,M,1,0,1,1,26395,38,49
High School,Manual,F,M,1,1,1,1,23323,39,52
Partial College,Manual,M,M,1,1,0,2,27445,39,69
Partial College,Manual,M,M,1,1,0,2,16369,40,63
Bachelors ,Clerical,M,M,1,0,0,3,69860,38,79
Bachelors ,Clerical,F,S,1,0,0,3,49481,39,50
Bachelors ,Clerical,M,M,1,0,0,0,55295,39,72
Bachelors ,Clerical,F,S,1,0,0,0,53382,39,43
Bachelors ,Clerical,M,M,1,0,0,0,60102,39,77
Graduate Degree,Clerical,F,M,1,0,0,3,65525,39,54
Bachelors ,Clerical,F,S,1,0,0,1,49567,40,42
High School,Manual,M,M,1,1,1,1,21224,28,80
Partial College,Manual,F,S,0,1,0,0,28554,28,40
Partial College,Manual,M,S,1,1,0,0,21886,28,59
Partial College,Manual,M,S,0,1,0,0,21256,28,61
Bachelors ,Clerical,M,S,1,0,0,0,82158,28,73
Bachelors ,Clerical,M,M,1,0,0,0,62003,28,78
Partial College,Manual,F,S,1,1,0,0,28111,29,44
Graduate Degree,Clerical,M,M,1,0,0,0,82192,29,80
Graduate Degree,Clerical,F,S,1,0,0,0,56615,29,51
Graduate Degree,Skilled Manual,M,S,1,0,0,0,68077,29,68
Graduate Degree,Clerical,F,M,1,0,0,1,60432,76,41
Partial College,Manual,F,S,1,2,0,3,21058,46,45
Partial College,Manual,F,M,1,1,0,2,27920,46,41
Partial College,Manual,F,M,1,1,0,2,23909,47,41
Partial College,Manual,M,S,0,0,1,1,11846,30,67
Graduate Degree,Management,F,S,0,2,4,4,150352,54,89
Partial College,Professional,M,S,1,2,0,5,118135,52,76
Partial College,Professional,F,S,0,2,0,5,97143,52,43
Bachelors ,Management,F,S,1,4,3,3,103496,52,79
High School,Professional,M,M,1,1,3,4,101799,45,123
High School,Professional,F,M,0,2,4,4,80307,44,84
High School,Professional,M,M,1,3,4,4,112196,44,143
Bachelors ,Management,M,M,1,2,5,5,158042,45,167
Partial College,Professional,M,M,1,2,5,5,164262,45,169
Partial College,Professional,M,M,1,2,5,5,159044,45,167
Bachelors ,Management,M,M,1,3,5,5,166662,45,168
Bachelors ,Management,M,M,1,4,4,4,168262,45,154
Partial College,Professional,F,M,1,2,1,4,84075,46,62
Partial College,Professional,F,M,0,3,5,5,134678,46,103
Bachelors ,Management,M,M,0,3,5,5,169262,46,168
Bachelors ,Management,M,M,1,3,5,5,168242,46,168
Partial High School,Skilled Manual,F,S,1,2,2,5,56860,47,57
Partial College,Professional,F,S,1,4,4,4,97953,47,79
High School,Professional,F,S,0,3,5,5,131017,47,97
Bachelors ,Management,M,M,1,3,5,5,166768,48,166
High School,Management,F,S,1,3,1,4,108936,50,56
High School,Management,F,S,0,4,5,5,114905,50,91
High School,Management,F,M,1,4,5,5,132087,50,106
Partial High School,Professional,F,M,1,3,5,5,117582,51,99
High School,Management,M,M,0,4,5,5,159159,51,160
Bachelors ,Professional,F,M,1,4,0,0,86389,23,57
Bachelors ,Professional,M,S,1,3,0,0,104798,22,68
Bachelors ,Professional,M,M,1,3,0,0,101116,23,82
Bachelors ,Professional,M,S,1,3,0,0,107684,23,74
Bachelors ,Professional,M,S,0,4,0,0,88169,24,69
Bachelors ,Professional,F,M,0,4,0,0,85140,24,49
Bachelors ,Professional,M,S,0,3,0,0,135217,23,78
Bachelors ,Professional,F,S,0,2,0,0,117317,23,53
Bachelors ,Professional,F,M,1,4,0,0,86739,24,55
Bachelors ,Professional,F,M,1,3,0,0,109807,25,55
Bachelors ,Professional,F,S,0,3,0,0,105363,25,52
Bachelors ,Professional,M,S,0,2,0,0,131136,24,79
High School,Management,M,M,1,1,5,5,113343,24,159
Partial High School,Professional,F,M,0,4,5,5,117946,24,107
Bachelors ,Professional,M,M,1,3,0,0,132025,25,83
High School,Management,F,M,0,2,5,5,93115,25,99
High School,Management,M,S,1,2,5,5,125192,25,144
Bachelors ,Professional,M,S,1,4,5,5,173481,25,158
Bachelors ,Professional,M,S,0,3,0,0,145939,26,79
High School,Management,M,M,0,2,5,5,111009,26,161
High School,Management,M,S,1,3,5,5,117509,26,150
Bachelors ,Professional,F,M,1,4,0,0,110807,27,56
Bachelors ,Professional,M,S,0,4,0,0,126067,27,73
High School,Management,F,S,1,4,5,5,141290,26,96
High School,Management,M,M,1,4,5,5,151654,26,169
Bachelors ,Professional,F,S,1,4,0,0,117825,27,48
High School,Management,M,S,1,3,5,5,128799,27,149
High School,Management,F,M,1,4,5,5,91272,27,101
Bachelors ,Professional,F,M,1,4,0,0,108120,28,57
Partial High School,Professional,M,M,1,4,5,5,113282,28,161
High School,Management,M,M,1,4,5,5,153494,27,165
Partial High School,Professional,M,M,1,4,5,5,136220,27,166
Partial High School,Professional,F,S,1,4,5,5,139064,27,102
Partial High School,Management,M,M,0,4,5,5,161625,27,171
Bachelors ,Management,F,S,1,2,0,5,64296,57,48
Bachelors ,Management,M,S,0,4,3,3,151620,57,114
Graduate Degree,Management,M,S,0,4,2,2,180308,57,101
Graduate Degree,Management,M,M,1,2,3,3,177525,57,122
Bachelors ,Management,F,M,1,2,0,5,116831,56,52
Graduate Degree,Management,M,M,1,3,3,3,141215,56,124
Graduate Degree,Management,F,M,1,3,4,4,166125,56,92
Bachelors ,Management,F,M,1,4,3,3,144108,56,80
Bachelors ,Management,F,M,1,3,4,4,129460,55,90
Graduate Degree,Management,F,M,1,3,4,4,155748,55,91
Bachelors ,Management,F,M,1,3,4,4,133253,55,88
Partial College,Skilled Manual,F,M,1,2,0,0,69500,25,54
Partial College,Professional,F,M,1,2,0,0,79137,25,54
Partial College,Professional,F,M,1,2,0,0,75976,25,52
Partial College,Professional,F,M,1,2,0,0,78787,22,53
High School,Skilled Manual,M,M,0,2,0,2,111775,43,83
High School,Skilled Manual,F,S,1,2,0,2,97474,43,55
High School,Skilled Manual,F,S,1,2,0,2,101277,43,50
High School,Skilled Manual,M,S,0,2,0,2,94379,42,78
High School,Skilled Manual,M,S,1,2,0,2,89174,42,78
High School,Professional,F,S,0,2,0,2,71047,41,48
High School,Professional,F,S,0,2,0,2,84581,41,47
Graduate Degree,Management,F,M,1,1,1,1,149505,40,70
Graduate Degree,Management,F,S,0,2,1,1,148273,40,61
Bachelors ,Management,F,S,0,1,0,0,105698,25,50
High School,Professional,F,S,1,2,0,0,38715,24,45
High School,Professional,M,S,0,2,0,0,55825,24,71
Partial College,Professional,M,S,1,2,0,0,106375,24,74
Partial College,Professional,F,S,1,2,0,0,72940,24,47
Partial College,Professional,M,S,0,2,0,0,94603,24,75
Graduate Degree,Management,M,M,1,3,1,1,179253,39,102
Graduate Degree,Management,F,S,0,3,0,0,154433,39,57
Graduate Degree,Management,F,M,1,3,1,1,151273,32,67
Graduate Degree,Management,M,M,1,4,1,1,182120,32,112
Bachelors ,Professional,M,M,0,1,0,0,96260,35,78
Bachelors ,Professional,M,S,1,4,5,5,117210,31,150
Bachelors ,Professional,F,M,1,0,4,4,94730,31,90
Bachelors ,Professional,F,M,1,0,4,4,101155,31,91
Bachelors ,Professional,M,M,1,1,0,1,94800,36,83
Bachelors ,Professional,F,S,1,1,0,1,82261,36,53
Partial College,Skilled Manual,M,S,0,1,0,1,87562,37,70
Partial College,Skilled Manual,F,S,0,1,0,1,57988,37,44
Graduate Degree,Management,F,S,0,2,0,0,159471,32,58
Partial College,Skilled Manual,M,M,1,1,0,1,101889,38,84
Partial College,Skilled Manual,M,M,1,1,0,1,79285,38,81
Partial College,Skilled Manual,F,M,1,1,0,1,82930,38,57
Bachelors ,Professional,F,S,0,1,0,0,79417,33,49
Bachelors ,Professional,M,S,1,4,5,5,124337,33,148
Bachelors ,Professional,F,S,0,1,0,0,93183,34,49
Bachelors ,Professional,M,M,1,1,0,5,120763,39,81
Bachelors ,Professional,M,S,0,1,0,0,109416,35,78
Bachelors ,Professional,F,S,0,2,0,0,76305,35,43
Partial College,Skilled Manual,F,M,1,1,0,1,73999,36,51
Partial College,Skilled Manual,F,M,1,1,0,1,85760,36,51
Partial College,Skilled Manual,F,M,1,2,4,5,70264,37,82
Bachelors ,Professional,F,M,0,2,4,5,103609,40,92
Bachelors ,Professional,F,M,1,2,4,5,109553,40,88
Bachelors ,Professional,M,S,1,1,0,2,137949,40,83
Bachelors ,Management,F,S,0,1,0,2,102115,40,52
Partial College,Clerical,M,M,0,2,0,2,61276,62,65
Partial College,Skilled Manual,F,M,1,3,4,5,50583,38,76
Partial College,Skilled Manual,M,M,1,3,4,5,99994,38,142
Partial College,Skilled Manual,F,S,0,1,0,1,82193,42,55
Bachelors ,Management,M,M,1,1,0,2,81307,45,81
High School,Skilled Manual,M,M,1,2,0,0,47522,22,65
High School,Skilled Manual,F,M,1,2,0,0,29357,22,42
High School,Skilled Manual,M,S,0,2,0,0,49662,22,64
High School,Skilled Manual,F,M,1,1,0,0,43452,23,47
High School,Skilled Manual,M,S,1,1,0,0,45519,23,65
High School,Skilled Manual,M,S,1,1,0,0,41834,23,63
High School,Skilled Manual,F,S,1,2,0,0,52144,18,42
High School,Skilled Manual,M,M,0,2,0,0,45617,18,70
High School,Skilled Manual,M,S,1,2,0,0,50323,18,65
High School,Skilled Manual,F,M,1,2,0,0,62779,18,50
High School,Skilled Manual,M,M,1,2,0,0,60665,18,67
High School,Skilled Manual,M,M,1,2,0,0,44109,19,70
High School,Skilled Manual,M,S,0,2,0,0,56787,18,65
High School,Skilled Manual,M,M,1,2,0,0,63725,18,73
Partial College,Clerical,F,M,0,2,0,2,41369,61,39
Partial High School,Clerical,F,S,0,2,0,0,38881,19,36
High School,Skilled Manual,F,S,0,2,0,0,47416,20,47
Bachelors ,Management,M,M,1,2,0,2,68883,60,70
Bachelors ,Management,F,S,1,2,0,2,51132,60,40
High School,Skilled Manual,F,S,0,2,0,0,38359,21,41
High School,Skilled Manual,F,S,0,2,0,0,21824,21,42
High School,Skilled Manual,F,S,1,2,0,0,43615,19,45
Partial College,Clerical,M,M,0,2,0,2,39793,59,56
Bachelors ,Management,M,M,1,2,0,2,70081,59,67
Bachelors ,Management,M,M,0,2,0,2,80395,58,71
Bachelors ,Management,M,M,0,2,0,2,72379,58,65
Bachelors ,Management,F,M,1,2,0,2,60469,56,48
Partial College,Professional,F,S,1,4,3,3,147228,36,79
Graduate Degree,Management,F,S,0,1,0,2,91467,56,50
High School,Skilled Manual,F,S,0,2,0,0,41082,22,40
High School,Skilled Manual,M,S,0,2,0,0,59048,23,62
High School,Skilled Manual,M,S,1,2,0,0,49765,23,62
Partial College,Skilled Manual,M,S,1,1,0,0,59308,24,70
Partial College,Skilled Manual,M,M,1,1,0,0,49656,24,70
Partial College,Skilled Manual,M,M,1,1,0,0,97887,25,79
Partial College,Skilled Manual,M,S,1,1,0,0,90527,25,72
Partial College,Skilled Manual,F,S,1,2,0,0,82133,26,46
Bachelors ,Management,F,M,1,1,0,0,107359,26,60
Bachelors ,Management,M,M,0,1,0,0,117980,30,83
Graduate Degree,Management,F,M,1,0,1,1,155608,31,72
Graduate Degree,Management,M,M,1,0,1,1,172193,31,108
Graduate Degree,Management,F,M,0,1,1,1,151659,31,70
Graduate Degree,Skilled Manual,F,S,0,0,0,4,82926,39,52
Partial College,Clerical,M,S,1,1,4,4,38921,26,105
Graduate Degree,Skilled Manual,M,M,1,0,0,0,59080,26,74
Graduate Degree,Skilled Manual,M,M,1,0,0,0,85302,25,84
Graduate Degree,Skilled Manual,M,M,1,0,0,0,65995,25,72
Graduate Degree,Skilled Manual,M,M,1,0,0,1,72521,25,73
Graduate Degree,Skilled Manual,F,S,1,0,0,1,62587,25,54
Graduate Degree,Skilled Manual,M,M,1,0,0,1,67704,25,75
Graduate Degree,Skilled Manual,M,M,1,0,0,1,75092,25,75
Graduate Degree,Skilled Manual,M,M,1,0,0,1,96623,27,81
Graduate Degree,Skilled Manual,M,M,1,0,1,1,101886,27,96
Graduate Degree,Skilled Manual,M,M,1,0,1,1,77270,26,95
Graduate Degree,Skilled Manual,F,M,1,0,1,1,56821,26,55
Graduate Degree,Skilled Manual,M,M,1,0,0,1,124329,26,82
Graduate Degree,Skilled Manual,M,S,1,0,0,1,104136,26,73
Graduate Degree,Professional,F,M,1,0,0,1,102382,26,57
Bachelors ,Skilled Manual,M,M,1,0,1,1,66525,28,89
Bachelors ,Management,M,M,1,2,0,4,121887,54,83
Graduate Degree,Management,M,S,1,2,0,4,114081,54,71
Bachelors ,Management,F,M,1,2,0,5,86294,54,51
Bachelors ,Management,M,M,1,2,0,5,118037,53,76
Bachelors ,Management,M,M,1,2,0,5,99754,53,81
Bachelors ,Management,M,M,1,3,0,5,98221,52,79
Bachelors ,Management,F,M,1,3,0,5,97646,52,50
Bachelors ,Management,F,M,1,3,0,5,94766,52,52
Bachelors ,Management,M,M,1,1,1,3,102212,52,93
Bachelors ,Management,M,M,1,1,1,4,106724,52,93
Bachelors ,Management,F,S,1,1,1,4,90023,52,50
Bachelors ,Management,M,M,1,3,0,5,103575,51,80
Bachelors ,Management,M,M,1,3,0,5,98772,51,77
Bachelors ,Management,M,S,1,3,0,5,97240,51,76
Bachelors ,Management,F,M,1,3,0,5,76282,51,52
Bachelors ,Management,F,S,1,0,1,2,96275,51,61
Bachelors ,Management,F,M,1,0,1,2,100290,51,56
Bachelors ,Management,F,M,1,1,1,4,97381,51,59
Partial College,Professional,F,S,1,1,1,2,69375,50,49
Partial College,Professional,M,M,0,1,1,2,106299,50,89
Bachelors ,Management,F,M,1,0,1,2,95788,50,62
Bachelors ,Management,F,M,1,0,1,2,86292,50,59
Partial College,Professional,F,S,1,2,1,2,86648,49,55
Partial College,Professional,M,S,1,2,1,2,102634,49,85
High School,Professional,M,M,1,2,1,2,94532,48,89
Partial College,Professional,M,M,1,1,1,2,93022,48,94
Partial College,Professional,F,M,1,1,1,2,61557,48,57
Partial College,Professional,F,M,0,1,2,4,72552,48,67
Partial College,Professional,F,S,1,1,2,4,78362,48,65
High School,Professional,M,M,0,2,1,2,86234,47,91
Partial College,Professional,M,M,1,1,1,2,87479,47,90
Partial College,Professional,F,M,1,2,1,2,82760,47,57
Partial College,Professional,M,M,1,2,1,2,98804,47,91
Partial College,Professional,F,S,1,1,2,4,67888,47,57
Partial College,Professional,M,M,1,1,2,4,103252,47,109
Partial College,Professional,F,M,1,1,2,4,83527,47,69
Partial College,Professional,F,M,1,2,2,4,77999,47,70
Partial College,Professional,M,M,1,2,2,4,93669,46,111
Partial College,Professional,F,M,1,2,2,5,74934,46,68
Partial College,Professional,M,M,0,3,3,3,170255,40,140
Partial College,Professional,F,M,0,4,3,3,145975,40,94
High School,Professional,M,M,1,4,4,4,157132,41,150
High School,Professional,F,M,1,4,4,4,131120,41,96
Partial College,Professional,M,M,1,3,4,4,152705,41,152
High School,Professional,M,M,1,2,4,4,164545,42,155
High School,Professional,M,M,1,2,4,4,153767,42,150
Partial College,Professional,F,M,1,3,4,4,130406,43,94
Partial College,Professional,M,M,1,3,4,4,163232,43,155
Graduate Degree,Management,M,S,1,2,0,3,125901,66,68
Graduate Degree,Management,M,M,1,1,0,3,148607,66,69
Graduate Degree,Management,F,S,1,2,0,2,62285,65,40
Graduate Degree,Management,M,M,1,2,0,4,112803,65,69
Partial College,Professional,M,M,1,3,4,4,121279,33,144
Partial College,Professional,F,M,1,3,4,4,111758,33,95
Graduate Degree,Management,F,M,1,2,0,0,143874,33,61
Partial College,Professional,M,M,1,1,3,4,121854,34,137
Bachelors ,Management,F,M,1,4,2,3,136611,34,80
Graduate Degree,Management,M,S,0,2,2,2,182585,34,114
Bachelors ,Management,F,M,1,2,1,1,143284,34,74
Graduate Degree,Management,F,S,0,3,0,0,155004,34,52
Partial College,Professional,M,S,1,2,3,4,129206,35,118
Partial College,Professional,M,M,1,2,3,4,123155,35,135
Partial College,Professional,F,S,0,2,3,4,104236,35,80
Partial College,Professional,M,M,1,2,3,4,112161,35,127
Partial College,Professional,F,S,0,2,0,0,100206,35,53
Partial College,Professional,M,S,1,2,2,2,111385,35,103
Bachelors ,Management,F,S,1,0,3,4,152862,35,80
Graduate Degree,Management,M,M,1,3,0,0,175947,35,91
Partial College,Professional,F,M,1,2,4,5,108869,36,95
Partial College,Professional,F,M,1,4,4,5,112518,36,97
Partial College,Professional,F,M,1,3,2,2,103295,36,74
Partial College,Professional,M,S,1,3,2,2,135623,36,107
Bachelors ,Management,F,M,1,2,3,3,133281,36,85
Bachelors ,Management,M,S,0,4,2,2,162391,36,112
Bachelors ,Management,M,M,1,4,2,2,153063,36,123
Partial College,Professional,F,M,1,3,4,5,119552,37,102
Partial College,Professional,F,S,1,4,2,3,115617,37,69
High School,Professional,F,M,1,4,3,3,135698,37,83
Bachelors ,Management,F,M,1,2,3,3,140911,37,88
Bachelors ,Management,F,S,0,3,3,3,141950,37,75
Bachelors ,Management,M,M,0,2,3,3,172571,37,141
Graduate Degree,Management,F,M,1,4,0,0,167732,37,65
High School,Professional,F,M,0,2,0,2,84373,43,53
High School,Professional,F,M,1,1,1,2,99533,43,68
Partial High School,Skilled Manual,M,M,1,2,0,2,106002,44,79
High School,Professional,M,M,0,2,0,4,56216,63,57
Bachelors ,Management,F,S,1,2,0,4,99426,63,46
Bachelors ,Management,F,M,1,2,0,4,99008,63,43
Partial College,Professional,M,M,0,2,0,3,57991,62,65
Graduate Degree,Management,F,S,1,2,0,2,65651,62,44
Graduate Degree,Management,M,S,1,2,0,2,68116,62,63
Graduate Degree,Management,F,S,1,2,0,2,90763,62,45
Graduate Degree,Management,M,M,1,2,0,4,113841,62,74
Graduate Degree,Management,M,M,1,2,0,4,110947,62,77
Partial College,Professional,M,S,1,4,2,3,147051,38,113
High School,Professional,M,S,1,1,4,4,143158,38,145
Partial High School,Skilled Manual,M,M,0,2,0,2,79543,44,77
Partial High School,Skilled Manual,M,M,1,2,0,2,86110,44,80
Partial High School,Skilled Manual,M,M,1,2,0,2,71726,44,77
Partial High School,Skilled Manual,F,S,1,2,0,3,72994,44,52
Partial High School,Skilled Manual,M,S,1,2,0,3,84011,44,66
Partial High School,Skilled Manual,M,M,1,2,0,3,92894,44,82
High School,Professional,F,M,1,0,1,3,81559,44,57
Graduate Degree,Management,M,S,1,2,0,3,110022,45,73
Graduate Degree,Management,F,S,1,2,0,3,94565,45,52
Partial College,Professional,F,M,0,2,0,3,61099,46,48
Partial College,Professional,F,M,0,2,0,3,48145,46,48
Partial College,Professional,F,S,1,2,0,3,46129,46,47
Partial College,Professional,M,M,0,2,0,3,46333,46,68
Graduate Degree,Management,F,M,0,4,3,3,151126,61,76
Graduate Degree,Management,M,M,1,3,4,4,187053,61,131
Bachelors ,Management,M,M,1,4,3,3,170084,61,116
Bachelors ,Management,M,S,1,2,0,5,134251,60,72
Graduate Degree,Management,M,S,1,0,4,4,176816,60,121
Graduate Degree,Management,F,M,1,0,4,4,142827,60,82
Bachelors ,Management,F,M,1,4,3,3,141742,60,80
Graduate Degree,Management,F,M,1,4,1,1,146487,60,66
Graduate Degree,Management,F,S,1,2,0,4,120294,59,41
Graduate Degree,Management,F,S,1,2,0,4,121159,59,51
Bachelors ,Management,F,M,1,2,0,5,101364,59,49
Graduate Degree,Management,M,M,1,3,4,4,188538,59,138
Bachelors ,Management,M,M,1,2,0,5,137855,58,80
Bachelors ,Management,M,M,0,2,0,5,127381,58,79
Graduate Degree,Management,M,S,1,3,3,3,145961,58,112
Bachelors ,Management,F,M,1,3,0,3,98190,30,56
Bachelors ,Management,M,M,1,3,0,3,124834,30,85
Graduate Degree,Management,F,S,0,2,1,1,128330,30,68
Bachelors ,Management,M,M,1,4,1,1,167564,30,103
High School,Skilled Manual,F,S,1,2,0,0,47783,19,41
High School,Skilled Manual,F,M,0,2,0,4,44066,54,46
Partial College,Skilled Manual,M,M,0,2,0,0,76718,19,69
High School,Skilled Manual,M,M,1,2,0,0,44363,20,71
Partial College,Skilled Manual,F,S,1,1,0,0,52596,20,47
Partial College,Skilled Manual,M,S,1,1,0,0,53539,20,66
Partial College,Skilled Manual,F,S,0,2,0,0,84197,20,53
Partial High School,Clerical,M,M,1,2,1,2,19370,53,74
High School,Skilled Manual,F,M,1,2,0,4,14181,53,43
Partial College,Clerical,M,S,1,2,0,2,51625,52,68
Partial College,Clerical,F,M,0,2,0,2,34945,52,38
Partial College,Clerical,M,S,1,2,0,3,64625,51,71
Graduate Degree,Manual,M,M,1,0,0,1,37996,36,70
Graduate Degree,Manual,M,S,1,0,0,1,31639,36,57
Graduate Degree,Manual,F,S,1,0,0,1,35232,36,44
Graduate Degree,Clerical,M,S,1,0,0,1,47298,36,65
Graduate Degree,Clerical,F,M,1,0,0,1,37192,62,42
Graduate Degree,Clerical,M,M,1,0,0,5,68223,36,76
Bachelors ,Manual,F,S,1,0,0,1,18785,40,43
Partial College,Manual,F,M,1,0,0,1,10156,41,38
Bachelors ,Clerical,F,S,1,0,0,1,35945,41,46
Bachelors ,Management,F,S,0,4,2,3,138703,35,69
Bachelors ,Clerical,F,M,1,0,0,1,33527,60,39
Bachelors ,Clerical,M,S,1,0,0,1,18707,60,48
Graduate Degree,Clerical,F,S,1,0,0,1,66395,60,43
Graduate Degree,Clerical,F,M,1,0,0,1,64756,60,47
Bachelors ,Skilled Manual,F,M,1,0,1,1,49535,28,52
Bachelors ,Skilled Manual,F,M,1,1,1,1,53657,28,58
Bachelors ,Skilled Manual,M,M,1,1,1,1,59618,28,86
Bachelors ,Skilled Manual,M,M,1,1,1,1,59858,28,85
Bachelors ,Skilled Manual,F,M,1,1,1,1,54687,28,63
Bachelors ,Skilled Manual,M,M,1,1,1,1,66943,28,86
Graduate Degree,Professional,F,M,1,0,0,1,77370,28,49
Graduate Degree,Professional,M,S,1,0,0,1,108778,28,75
Bachelors ,Skilled Manual,M,M,1,0,2,2,57713,29,102
Bachelors ,Skilled Manual,M,M,1,0,2,2,66925,29,102
Graduate Degree,Professional,M,M,1,0,0,1,116482,29,82
Graduate Degree,Professional,M,M,1,0,0,1,99153,27,83
Graduate Degree,Professional,M,M,1,0,0,1,117120,27,83
Graduate Degree,Professional,F,M,1,0,0,1,100555,27,51
Graduate Degree,Professional,F,M,1,0,0,2,87151,27,56
Graduate Degree,Professional,M,M,1,0,0,1,115182,29,79
Graduate Degree,Professional,F,M,1,0,0,1,89414,29,50
Graduate Degree,Professional,M,M,1,0,0,1,108206,29,85
Bachelors ,Skilled Manual,F,S,0,1,2,2,83451,30,61
High School,Skilled Manual,F,M,0,3,5,5,35082,31,83
Graduate Degree,Professional,M,S,1,0,0,3,114119,28,81
Graduate Degree,Professional,M,S,1,0,0,2,141834,28,81
Bachelors ,Skilled Manual,F,S,1,1,2,2,41484,31,57
Bachelors ,Skilled Manual,F,S,0,1,2,2,38511,31,59
Bachelors ,Skilled Manual,M,S,1,1,2,2,59995,31,91
Bachelors ,Skilled Manual,F,S,1,1,2,2,64147,31,64
Bachelors ,Skilled Manual,F,S,1,1,2,2,42948,31,60
Bachelors ,Skilled Manual,M,M,1,0,3,3,106429,32,136
Bachelors ,Skilled Manual,F,S,0,0,3,3,88632,32,73
Graduate Degree,Professional,M,S,1,0,0,0,112313,32,84
Graduate Degree,Professional,M,M,1,0,0,0,109940,32,86
Graduate Degree,Professional,F,S,1,0,0,4,105952,32,56
Graduate Degree,Professional,F,M,1,0,0,4,114916,32,61
Graduate Degree,Professional,M,M,1,0,0,5,113089,29,86
Graduate Degree,Professional,F,M,1,2,5,5,97570,29,96
Graduate Degree,Professional,M,M,1,0,0,3,145528,29,91
Bachelors ,Professional,M,S,1,1,0,0,65450,33,76
Bachelors ,Skilled Manual,M,S,1,1,3,3,132549,33,118
Bachelors ,Skilled Manual,M,S,1,2,3,3,122790,33,122
Bachelors ,Skilled Manual,M,S,0,2,3,3,117586,33,119
Bachelors ,Skilled Manual,F,S,1,2,3,3,102019,33,77
Graduate Degree,Professional,M,M,1,0,0,0,105869,33,84
Bachelors ,Skilled Manual,M,S,1,2,4,4,98410,34,121
Bachelors ,Skilled Manual,F,S,1,1,5,5,81443,34,87
Bachelors ,Skilled Manual,F,S,1,3,5,5,76340,34,90
Bachelors ,Skilled Manual,F,S,1,3,5,5,95785,34,92
Bachelors ,Skilled Manual,F,S,0,2,2,4,91654,34,66
Bachelors ,Skilled Manual,F,S,0,2,2,4,70939,34,66
Bachelors ,Skilled Manual,F,S,0,2,2,4,76090,34,61
Bachelors ,Skilled Manual,F,S,1,2,2,4,79742,35,70
Bachelors ,Skilled Manual,F,S,0,2,2,4,75694,35,65
Bachelors ,Professional,M,S,1,2,2,4,97922,35,99
Bachelors ,Professional,F,S,0,2,2,4,71425,35,54
Bachelors ,Professional,F,S,1,2,2,4,83723,35,65
Bachelors ,Professional,F,S,1,2,2,4,96418,35,66
Bachelors ,Professional,M,M,1,2,2,4,100084,35,110
Bachelors ,Professional,M,S,0,1,0,0,88578,30,78
Bachelors ,Professional,M,S,0,1,0,0,106740,30,77
Bachelors ,Professional,M,S,1,1,0,0,109987,30,79
Bachelors ,Professional,F,S,1,1,0,0,92051,30,51
Graduate Degree,Professional,F,M,1,0,2,2,90919,30,66
Graduate Degree,Professional,F,M,1,0,2,3,84478,35,73
Bachelors ,Professional,F,S,0,1,0,1,90743,36,47
Bachelors ,Professional,M,S,1,1,0,1,102939,36,82
Bachelors ,Professional,F,S,1,1,0,1,83851,36,56
Bachelors ,Professional,F,S,0,1,0,1,80036,36,45
Partial College,Skilled Manual,M,M,1,1,0,1,91426,36,86
High School,Skilled Manual,F,M,1,3,3,4,36262,37,65
High School,Skilled Manual,F,M,1,2,2,4,40337,37,64
Partial College,Skilled Manual,F,M,1,1,0,1,73153,37,52
Partial College,Skilled Manual,F,M,1,1,0,1,69235,37,52
Partial College,Skilled Manual,M,M,1,1,0,1,82588,38,78
Partial College,Skilled Manual,F,M,1,1,0,1,62856,38,53
Partial College,Skilled Manual,M,S,0,1,0,0,57000,31,68
Partial College,Skilled Manual,M,S,0,1,0,0,42496,31,65
Partial College,Skilled Manual,F,M,1,1,0,1,80411,38,47
Partial College,Skilled Manual,F,M,1,1,0,1,75716,38,51
Partial College,Skilled Manual,F,M,1,1,0,1,52936,39,50
Bachelors ,Professional,F,M,1,1,4,5,73809,39,87
Bachelors ,Professional,F,M,1,1,4,5,92963,39,89
Bachelors ,Professional,M,S,1,1,4,5,110001,39,134
Bachelors ,Professional,F,S,1,0,3,4,94294,39,74
Bachelors ,Professional,M,M,1,1,3,4,92266,39,124
Graduate Degree,Professional,F,M,0,3,5,5,95535,39,93
Graduate Degree,Professional,M,M,1,0,0,4,140045,39,91
Graduate Degree,Professional,M,S,1,0,0,4,147590,39,83
Bachelors ,Professional,F,M,1,1,0,1,64562,40,54
Bachelors ,Professional,M,M,1,1,0,1,96655,40,82
Bachelors ,Professional,M,M,1,1,0,1,95320,40,82
Bachelors ,Professional,M,M,1,1,0,1,89152,40,82
Bachelors ,Professional,F,M,1,1,0,1,87722,40,57
Graduate Degree,Management,F,M,1,0,4,5,120812,40,94
Graduate Degree,Management,M,S,1,0,0,1,145919,29,80
