Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AveMonthSpend,BikeBuyer,Year,Age
Bachelors ,Management,M,S,1,2,0,4,94911,70,0,1945,53
Bachelors ,Management,F,M,1,2,0,4,80050,47,0,1945,53
Bachelors ,Management,M,M,1,2,0,4,119447,79,0,1945,53
Bachelors ,Management,F,M,1,3,0,5,80730,52,0,1946,52
Bachelors ,Management,M,M,1,3,0,5,108659,77,0,1946,52
Bachelors ,Management,F,M,1,1,1,3,83540,62,0,1946,52
Bachelors ,Management,F,S,1,1,1,4,83800,52,0,1946,52
Bachelors ,Management,M,M,1,1,1,4,91618,89,0,1946,52
Bachelors ,Management,M,M,1,1,1,4,106862,99,0,1946,52
Bachelors ,Management,F,M,1,1,1,4,79809,58,0,1947,51
Bachelors ,Management,M,M,0,1,1,4,107566,84,1,1947,51
Partial College,Professional,M,M,1,1,1,2,96851,87,0,1948,50
Partial College,Professional,F,S,1,1,1,2,83128,60,1,1948,50
Partial College,Professional,M,M,1,2,1,2,94181,95,0,1948,50
Partial College,Professional,F,S,1,2,1,2,69199,57,0,1948,50
Partial College,Professional,M,M,0,2,1,2,83960,91,0,1948,50
Partial College,Professional,M,M,1,2,1,2,108168,94,0,1948,50
Bachelors ,Management,M,M,1,2,1,4,122389,100,0,1948,50
Partial College,Professional,F,M,1,2,1,4,76623,54,0,1948,50
Partial College,Professional,F,S,1,2,1,2,79876,58,0,1949,49
Bachelors ,Management,F,M,1,0,1,2,88056,61,0,1949,49
Partial College,Professional,M,M,1,2,1,5,90448,90,0,1949,49
Partial College,Professional,F,S,1,2,1,2,68048,53,0,1950,48
Partial College,Professional,F,S,1,2,1,2,75551,56,0,1950,48
Partial College,Professional,M,M,0,2,1,2,114622,97,0,1950,48
Partial College,Professional,F,M,1,1,1,2,72663,54,0,1950,48
Partial College,Professional,M,S,1,1,1,2,78807,81,0,1950,48
Partial College,Professional,F,M,0,1,2,4,77799,73,0,1950,48
Partial College,Professional,F,M,0,1,2,4,75952,62,0,1950,48
Partial High School,Skilled Manual,F,M,1,3,1,2,53414,55,0,1951,47
High School,Professional,M,M,1,2,1,2,86434,97,0,1951,47
High School,Professional,M,M,1,2,1,2,82150,91,0,1951,47
High School,Professional,M,S,1,2,1,2,91040,82,0,1951,47
High School,Professional,M,M,1,2,1,2,95965,90,0,1951,47
High School,Professional,M,M,1,2,1,2,93946,91,0,1951,47
Partial College,Professional,M,M,1,1,1,2,94081,94,1,1951,47
Partial College,Professional,M,M,1,1,1,2,101852,86,0,1951,47
Partial College,Professional,M,M,0,2,1,2,99737,91,0,1951,47
Partial College,Professional,F,M,0,2,1,2,84729,57,0,1951,47
High School,Professional,M,M,0,2,1,3,88492,92,0,1952,46
Partial College,Professional,F,S,1,2,2,5,81974,65,1,1952,46
Partial College,Professional,M,M,1,2,4,4,153205,155,0,1958,40
Partial College,Professional,M,M,1,3,4,4,163087,153,1,1957,41
High School,Professional,F,S,0,2,4,4,133005,92,1,1957,41
Bachelors ,Management,F,M,1,3,3,3,135839,89,0,1957,41
Partial College,Professional,F,M,1,4,4,4,135778,98,0,1955,43
Partial College,Professional,F,M,0,3,4,4,132923,95,1,1955,43
Partial College,Professional,M,M,1,3,4,4,168936,149,1,1955,43
Graduate Degree,Management,M,M,1,2,0,2,103657,68,0,1932,66
Graduate Degree,Management,M,M,1,1,0,3,138367,71,0,1933,65
Graduate Degree,Management,M,S,0,2,2,2,176938,89,1,1933,65
Graduate Degree,Management,M,M,1,3,2,2,186839,96,0,1933,65
Partial College,Professional,M,M,1,3,4,4,127139,145,1,1965,33
Partial College,Professional,F,M,1,3,5,5,88033,103,0,1965,33
Graduate Degree,Management,F,M,1,2,2,2,141406,74,0,1965,33
Graduate Degree,Management,F,S,0,4,0,0,145664,55,1,1965,33
Bachelors ,Management,M,S,1,0,3,4,130420,124,1,1964,34
Partial College,Professional,F,M,1,3,5,5,92736,97,1,1964,34
Partial College,Professional,M,M,1,3,5,5,105471,155,1,1964,34
Bachelors ,Management,F,S,1,4,2,3,129946,75,1,1964,34
Bachelors ,Management,M,S,0,3,2,2,162279,113,1,1964,34
Bachelors ,Management,M,M,1,3,2,3,152871,117,1,1964,34
Bachelors ,Management,F,M,1,3,0,2,149489,57,0,1964,34
Bachelors ,Management,M,M,1,4,0,2,164156,87,1,1964,34
Partial College,Professional,M,M,1,0,2,3,102621,111,0,1956,42
Partial College,Professional,M,S,1,1,0,3,115577,82,0,1956,42
Partial College,Professional,F,S,1,1,1,2,102950,63,1,1956,42
Graduate Degree,Management,F,S,1,2,0,2,66178,36,0,1934,64
Graduate Degree,Management,F,M,1,2,0,4,83218,44,0,1934,64
Partial College,Professional,F,S,1,1,0,0,104065,52,1,1963,35
Partial College,Professional,M,M,1,1,0,0,119665,86,1,1963,35
Partial College,Professional,F,S,0,2,0,0,89194,51,0,1963,35
Bachelors ,Management,M,M,1,4,2,4,149285,119,1,1963,35
Partial College,Professional,F,S,1,3,4,5,96344,89,1,1962,36
Partial College,Professional,M,M,1,4,4,5,122205,145,1,1962,36
Partial College,Professional,F,S,0,4,4,5,95947,81,1,1962,36
Partial College,Professional,F,M,1,3,2,2,93547,73,1,1962,36
Bachelors ,Management,F,S,0,2,3,3,150677,80,0,1962,36
Partial College,Professional,M,M,0,4,3,3,169203,137,1,1962,36
Partial College,Professional,F,S,1,4,3,3,129037,80,1,1962,36
Bachelors ,Management,F,M,1,4,2,2,142830,75,1,1962,36
Bachelors ,Management,F,M,1,4,2,2,152798,76,1,1962,36
Partial College,Professional,M,S,1,3,4,5,134727,131,1,1961,37
High School,Professional,F,S,1,1,3,4,87239,75,1,1961,37
Partial College,Professional,F,M,0,4,3,3,141166,88,1,1961,37
Bachelors ,Management,F,M,1,1,3,3,138108,85,0,1961,37
Bachelors ,Management,F,M,1,3,3,3,136412,89,1,1961,37
Bachelors ,Management,M,M,1,3,3,3,163738,137,1,1961,37
Bachelors ,Management,F,M,1,3,3,3,144980,90,0,1961,37
Partial High School,Skilled Manual,F,S,1,2,0,2,96529,55,0,1955,43
High School,Professional,M,M,0,2,0,2,112516,82,0,1955,43
High School,Professional,F,M,0,2,0,2,68114,52,0,1955,43
High School,Professional,M,M,0,2,0,2,95155,83,0,1955,43
Partial High School,Skilled Manual,F,S,0,2,0,2,96891,47,1,1954,44
Graduate Degree,Management,M,S,0,3,3,3,177786,110,1,1935,63
Graduate Degree,Management,M,S,1,2,0,2,81784,64,0,1936,62
Graduate Degree,Management,F,M,1,2,0,2,103973,47,0,1936,62
Graduate Degree,Management,F,M,1,2,0,4,94241,50,0,1936,62
Graduate Degree,Management,F,M,1,4,2,2,121004,66,0,1936,62
Partial College,Professional,M,M,1,3,4,5,125452,152,1,1960,38
High School,Professional,M,S,0,2,3,4,125402,122,1,1960,38
Partial College,Professional,F,S,1,4,2,3,101567,68,1,1960,38
Partial College,Professional,M,S,1,1,3,3,122810,123,1,1960,38
High School,Professional,M,M,1,4,3,3,153760,133,1,1960,38
Partial High School,Skilled Manual,M,M,1,2,0,2,116178,82,0,1954,44
Partial High School,Skilled Manual,M,M,0,2,0,3,97091,81,0,1954,44
Partial High School,Skilled Manual,F,M,0,2,0,2,73449,56,0,1954,44
Partial High School,Skilled Manual,M,M,1,2,0,2,75973,75,0,1954,44
Partial High School,Skilled Manual,M,M,0,2,0,2,82588,83,0,1954,44
High School,Professional,F,M,1,0,1,3,89374,60,0,1954,44
High School,Professional,F,S,1,0,1,3,84704,56,1,1954,44
Graduate Degree,Management,F,S,1,2,0,3,103622,52,0,1953,45
Graduate Degree,Management,M,M,1,2,0,3,119935,84,0,1953,45
Partial College,Professional,F,M,0,2,0,3,57100,47,0,1952,46
Partial College,Professional,M,M,0,2,0,3,53498,73,0,1952,46
Bachelors ,Management,F,S,0,4,3,3,122627,68,0,1937,61
Graduate Degree,Management,F,M,1,3,4,4,149932,92,1,1938,60
Bachelors ,Management,F,M,1,2,0,5,94945,56,0,1939,59
Graduate Degree,Management,M,M,1,3,4,4,177184,140,0,1939,59
Graduate Degree,Management,F,M,1,3,4,4,153358,82,0,1939,59
Bachelors ,Management,M,M,1,4,3,3,156975,123,1,1940,58
Graduate Degree,Manual,F,M,1,0,0,1,23894,45,0,1964,34
Graduate Degree,Manual,M,S,1,0,0,1,45074,65,1,1962,36
Graduate Degree,Clerical,M,M,1,0,0,1,44897,70,1,1962,36
Graduate Degree,Clerical,M,M,1,0,0,1,36865,66,1,1962,36
Graduate Degree,Clerical,F,M,1,0,0,1,42198,47,0,1961,37
Graduate Degree,Clerical,M,S,1,0,0,4,65258,65,0,1962,36
Bachelors ,Manual,F,M,1,0,0,1,19474,41,0,1958,40
Bachelors ,Manual,M,M,1,0,0,1,34712,66,0,1958,40
Bachelors ,Manual,F,S,1,0,0,1,12516,36,0,1958,40
Partial College,Manual,M,M,1,0,0,1,12306,59,0,1957,41
Partial College,Manual,F,M,1,0,0,2,24571,42,0,1956,42
Partial College,Manual,F,M,1,0,0,2,9482,35,0,1956,42
Partial College,Manual,M,S,1,0,0,2,23982,62,0,1955,43
Partial College,Manual,F,M,1,0,0,2,16988,37,0,1955,43
Graduate Degree,Clerical,M,M,1,0,0,1,76220,71,0,1937,61
Partial College,Manual,M,M,1,1,0,2,23744,54,0,1940,58
Partial College,Manual,M,S,1,1,0,2,32673,57,0,1941,57
Partial College,Manual,F,M,1,1,0,2,13821,41,0,1941,57
Partial College,Manual,F,S,1,1,0,3,17735,37,0,1942,56
Partial College,Manual,F,M,1,0,0,1,23475,39,0,1942,56
Bachelors ,Clerical,M,M,1,0,0,1,66636,70,0,1942,56
Bachelors ,Clerical,M,S,1,0,0,1,73533,62,1,1942,56
Partial College,Manual,M,S,0,1,0,0,27546,59,0,1979,19
Partial College,Manual,M,S,1,1,0,0,31532,63,1,1978,20
Partial College,Manual,F,S,1,1,0,0,21753,39,0,1978,20
Partial College,Manual,F,S,1,1,0,0,35407,45,0,1978,20
High School,Manual,M,S,1,2,0,0,13521,52,0,1977,21
High School,Manual,F,S,1,2,0,0,11608,40,0,1976,22
Bachelors ,Clerical,F,M,0,0,0,0,33300,43,0,1978,20
Bachelors ,Clerical,F,M,1,0,0,0,33959,45,0,1978,20
Partial College,Manual,F,S,0,0,0,0,19570,39,0,1977,21
Graduate Degree,Clerical,F,M,1,0,0,1,67853,50,0,1943,55
Graduate Degree,Clerical,M,M,1,0,0,4,65243,75,0,1961,37
Graduate Degree,Clerical,F,M,1,0,0,4,54667,45,0,1961,37
Graduate Degree,Clerical,M,S,1,0,0,4,68704,71,1,1961,37
Graduate Degree,Clerical,F,M,1,0,0,3,72863,58,0,1961,37
Partial College,Manual,M,S,0,0,1,1,17645,69,1,1960,38
High School,Manual,F,S,0,1,1,1,21133,49,0,1959,39
High School,Manual,F,S,0,1,1,1,18910,48,1,1959,39
Partial College,Manual,F,S,1,1,0,2,23197,38,0,1959,39
Graduate Degree,Clerical,M,S,1,0,0,3,76883,75,1,1959,39
Graduate Degree,Clerical,F,M,1,0,0,3,57581,54,0,1960,38
Graduate Degree,Clerical,F,M,1,0,0,3,65116,52,0,1960,38
Bachelors ,Clerical,F,M,1,0,0,1,51894,48,0,1958,40
Bachelors ,Clerical,M,S,1,0,0,1,76120,72,0,1958,40
Partial College,Manual,F,S,1,1,0,0,21507,40,0,1970,28
Bachelors ,Clerical,M,M,1,0,0,0,65086,73,0,1970,28
High School,Manual,F,S,1,0,2,2,19027,55,1,1969,29
Bachelors ,Clerical,F,M,1,0,0,0,46739,45,0,1970,28
High School,Manual,M,S,1,0,2,2,28015,81,1,1969,29
Partial College,Manual,M,S,0,1,0,0,19045,57,0,1969,29
Bachelors ,Clerical,M,M,1,0,0,0,60210,77,0,1969,29
Bachelors ,Clerical,M,S,1,0,0,0,50837,62,0,1969,29
Bachelors ,Clerical,F,M,1,0,0,1,55776,47,0,1969,29
Bachelors ,Clerical,F,M,1,0,0,1,41813,43,0,1969,29
Graduate Degree,Clerical,F,M,1,0,0,0,60862,54,0,1969,29
Graduate Degree,Clerical,F,S,1,0,0,0,51458,46,0,1969,29
Graduate Degree,Clerical,F,M,1,0,0,0,51676,46,0,1969,29
Graduate Degree,Clerical,F,M,1,0,0,0,56645,46,0,1969,29
Graduate Degree,Skilled Manual,M,M,1,0,0,0,77919,74,0,1969,29
Graduate Degree,Skilled Manual,M,M,1,0,0,0,80377,80,0,1969,29
Graduate Degree,Skilled Manual,M,S,1,0,0,0,64745,73,0,1969,29
Graduate Degree,Skilled Manual,M,M,0,0,0,0,73402,80,0,1969,29
Partial College,Manual,F,M,0,2,0,3,19547,43,0,1951,47
High School,Manual,F,S,1,2,0,3,10500,42,0,1951,47
High School,Manual,F,M,0,2,0,4,21720,43,0,1951,47
High School,Manual,M,M,0,2,0,4,30286,61,0,1951,47
High School,Manual,M,S,1,1,2,2,22560,80,0,1968,30
High School,Manual,M,S,1,1,2,2,20183,77,0,1968,30
High School,Manual,M,M,0,1,2,2,33487,93,0,1968,30
High School,Manual,M,S,1,0,3,3,15117,87,1,1968,30
Partial College,Manual,M,M,1,0,1,1,31501,77,1,1968,30
High School,Professional,F,M,1,2,1,5,74050,55,0,1944,54
High School,Professional,M,M,1,2,1,5,108282,87,0,1945,53
High School,Professional,M,M,1,3,1,5,92847,95,0,1945,53
Bachelors ,Management,M,M,1,4,4,4,175480,142,0,1946,52
Bachelors ,Management,F,M,0,4,4,4,138283,92,0,1946,52
Partial College,Professional,M,M,1,4,4,4,153356,147,0,1946,52
Partial College,Professional,F,M,1,4,4,4,132424,91,0,1946,52
High School,Professional,M,S,1,1,3,4,89067,115,1,1953,45
Partial College,Professional,F,M,0,1,2,4,106884,71,1,1953,45
High School,Professional,F,S,1,3,4,4,111384,92,1,1954,44
Partial College,Professional,F,M,1,4,4,4,122745,92,0,1954,44
Partial College,Professional,M,S,1,2,2,4,119985,101,1,1953,45
Bachelors ,Management,M,M,0,3,5,5,169021,173,1,1953,45
Bachelors ,Management,F,M,1,3,5,5,137761,97,1,1953,45
Partial High School,Skilled Manual,F,M,1,2,2,5,66672,70,1,1952,46
Partial College,Professional,F,S,1,4,4,4,97355,81,1,1952,46
Partial College,Professional,F,M,1,4,4,4,102837,92,1,1952,46
Partial High School,Skilled Manual,M,S,1,2,2,5,80373,96,1,1951,47
High School,Professional,M,M,0,3,1,4,112231,95,0,1951,47
High School,Professional,M,M,1,3,1,4,120405,98,0,1951,47
Partial College,Professional,M,M,1,3,5,5,170555,166,1,1951,47
Partial College,Professional,F,M,1,3,5,5,123769,104,0,1951,47
Partial College,Professional,F,M,0,4,5,5,138630,104,0,1951,47
Partial College,Management,F,M,1,4,4,4,107884,87,0,1950,48
Partial College,Management,F,M,1,3,5,5,118105,104,1,1950,48
High School,Management,M,M,0,3,5,5,169174,170,1,1950,48
High School,Management,M,M,0,3,1,5,103203,88,0,1949,49
Partial College,Management,M,M,1,4,4,4,112640,146,0,1949,49
High School,Management,M,S,1,3,5,5,163959,155,1,1949,49
High School,Management,F,M,1,3,5,5,147359,107,1,1949,49
High School,Management,M,M,1,4,5,5,157436,168,0,1949,49
High School,Management,M,M,1,4,1,5,121079,90,0,1948,50
Partial High School,Professional,F,M,0,4,5,5,132485,100,1,1947,51
Bachelors ,Professional,M,M,1,3,0,0,103430,86,0,1975,23
Bachelors ,Professional,F,S,1,4,0,0,85303,45,0,1975,23
Bachelors ,Professional,F,S,0,4,0,0,75874,52,0,1975,23
Bachelors ,Professional,M,M,1,2,0,0,99265,79,0,1976,22
Bachelors ,Professional,M,M,1,3,0,0,116976,82,1,1976,22
Bachelors ,Professional,M,M,1,3,0,0,96893,80,0,1976,22
Bachelors ,Professional,M,S,0,3,0,0,98769,74,0,1976,22
Bachelors ,Professional,F,M,1,4,0,0,76508,55,0,1974,24
Partial High School,Professional,M,M,1,4,0,0,91608,76,0,1974,24
Bachelors ,Professional,F,S,1,3,0,0,113488,51,0,1974,24
Bachelors ,Professional,M,M,1,3,0,0,127176,82,0,1973,25
Bachelors ,Professional,M,M,0,3,0,0,129436,87,0,1973,25
Bachelors ,Professional,F,M,1,3,0,0,103312,51,0,1972,26
Partial College,Management,F,M,1,3,5,5,132703,105,1,1973,25
Bachelors ,Professional,F,M,1,3,0,0,107871,53,0,1972,26
Bachelors ,Professional,F,S,0,3,0,0,97022,49,0,1972,26
Bachelors ,Professional,M,M,1,3,0,0,117684,85,0,1972,26
Bachelors ,Professional,F,S,0,3,0,0,112824,53,0,1972,26
High School,Management,F,M,1,3,5,5,112468,104,1,1972,26
Bachelors ,Professional,M,M,1,4,0,0,124065,93,0,1971,27
Bachelors ,Professional,M,M,0,3,0,0,138229,89,0,1971,27
High School,Management,M,M,1,3,5,5,138161,162,0,1971,27
High School,Management,F,M,0,4,5,5,96604,97,0,1971,27
Partial High School,Professional,M,S,1,4,5,5,122514,146,1,1970,28
Partial High School,Professional,F,M,1,4,5,5,105065,102,1,1970,28
Partial High School,Professional,M,S,1,4,5,5,117545,146,1,1970,28
High School,Management,M,M,1,4,5,5,158984,160,1,1970,28
Partial High School,Professional,M,S,1,4,5,5,164243,155,1,1970,28
Partial High School,Professional,M,S,1,4,5,5,158215,151,1,1970,28
Partial High School,Management,M,M,1,4,5,5,148637,165,1,1971,27
Partial High School,Management,M,M,1,4,5,5,137192,157,1,1971,27
Bachelors ,Management,F,M,1,2,0,5,116396,53,0,1941,57
Bachelors ,Management,M,M,1,2,0,5,118693,80,0,1941,57
Graduate Degree,Management,M,M,1,3,3,3,158183,127,0,1941,57
Graduate Degree,Management,M,M,1,3,3,3,145063,120,0,1941,57
Graduate Degree,Management,F,M,1,2,4,4,143493,92,0,1941,57
Graduate Degree,Management,F,S,1,2,4,4,153039,83,1,1941,57
Bachelors ,Management,M,M,1,4,3,3,158122,119,0,1941,57
Bachelors ,Management,M,M,1,2,0,5,85161,68,0,1942,56
Bachelors ,Skilled Manual,M,M,1,0,1,1,66429,83,0,1975,23
Partial High School,Manual,M,S,0,2,0,0,12813,55,0,1973,25
Partial High School,Manual,M,S,0,2,0,0,11799,59,0,1973,25
Partial High School,Manual,F,S,0,2,0,0,17294,36,1,1973,25
Partial High School,Manual,M,S,0,2,0,0,14230,55,0,1973,25
Bachelors ,Professional,M,M,1,2,5,5,96660,156,1,1963,35
Bachelors ,Professional,F,M,1,2,2,3,81424,73,1,1963,35
Bachelors ,Professional,F,S,0,2,2,3,91573,70,0,1963,35
Partial College,Clerical,M,S,0,1,0,0,44791,64,0,1974,24
Partial High School,Manual,M,S,0,2,0,0,15605,58,0,1980,18
Partial High School,Manual,M,S,1,2,0,0,14572,54,0,1980,18
Graduate Degree,Management,M,M,0,1,0,2,118844,75,0,1939,59
Partial High School,Manual,M,M,0,2,0,0,22910,62,0,1980,18
High School,Manual,F,S,0,1,0,0,33836,42,0,1978,20
Bachelors ,Skilled Manual,M,M,1,0,1,1,63671,86,0,1974,24
Bachelors ,Skilled Manual,F,M,1,0,1,1,56403,46,0,1974,24
Bachelors ,Skilled Manual,F,M,1,0,1,1,45949,54,1,1974,24
High School,Manual,M,S,1,1,0,0,54511,68,0,1973,25
High School,Manual,M,S,0,1,0,0,44971,67,0,1973,25
High School,Manual,F,S,0,1,0,0,39608,38,1,1973,25
Partial High School,Manual,M,S,0,2,0,0,20618,54,0,1972,26
Bachelors ,Skilled Manual,F,M,1,0,1,1,56371,51,0,1973,25
Bachelors ,Skilled Manual,M,M,1,1,1,1,58711,88,1,1973,25
Graduate Degree,Skilled Manual,M,S,0,0,0,0,88313,69,0,1973,25
Graduate Degree,Skilled Manual,F,S,0,0,0,0,65193,48,0,1973,25
Partial High School,Manual,F,S,0,2,0,0,10506,43,0,1972,26
Partial College,Clerical,F,S,1,0,2,2,40193,57,0,1972,26
Partial College,Clerical,M,M,0,0,2,2,50351,92,0,1972,26
High School,Manual,F,S,1,1,0,0,23399,39,1,1971,27
High School,Manual,M,S,0,1,0,0,47913,70,0,1971,27
Partial College,Clerical,F,S,1,1,2,2,56511,63,1,1971,27
Partial College,Clerical,M,S,1,1,2,2,37808,84,1,1971,27
Partial College,Clerical,F,S,1,2,2,2,41857,59,1,1970,28
Partial College,Clerical,F,S,1,0,3,3,55792,66,1,1975,23
High School,Professional,F,M,1,2,1,4,99356,70,0,1952,46
Partial College,Clerical,F,S,1,1,3,3,46333,65,0,1974,24
Partial College,Clerical,F,S,1,2,3,3,37426,60,1,1974,24
Graduate Degree,Skilled Manual,F,S,1,0,0,0,68501,44,0,1974,24
Graduate Degree,Skilled Manual,F,S,1,0,0,0,64523,42,0,1974,24
Graduate Degree,Skilled Manual,M,S,1,0,0,0,71688,69,0,1974,24
Partial College,Clerical,M,M,0,1,4,4,57299,119,0,1975,23
Graduate Degree,Skilled Manual,F,S,0,0,0,0,94247,53,0,1966,32
Graduate Degree,Skilled Manual,M,S,0,0,0,0,107688,82,1,1966,32
Graduate Degree,Skilled Manual,F,S,1,0,0,0,85090,47,0,1966,32
Graduate Degree,Skilled Manual,M,S,0,0,0,0,106551,77,1,1966,32
Graduate Degree,Skilled Manual,F,S,1,0,0,0,83461,49,1,1966,32
Graduate Degree,Skilled Manual,M,S,0,0,0,0,101045,72,1,1966,32
High School,Manual,F,M,0,2,0,2,22480,46,0,1953,45
Bachelors ,Skilled Manual,M,M,1,1,0,1,65558,73,0,1953,45
Bachelors ,Skilled Manual,M,M,1,1,0,1,62707,75,0,1953,45
Bachelors ,Skilled Manual,F,M,1,1,0,1,49168,45,0,1953,45
Bachelors ,Skilled Manual,M,M,1,1,0,1,47699,66,0,1953,45
Partial High School,Manual,M,M,0,2,0,2,15785,61,0,1954,44
Partial High School,Clerical,M,S,1,2,0,3,24849,58,0,1954,44
High School,Manual,M,M,1,1,0,1,34377,66,0,1954,44
High School,Clerical,M,M,1,1,0,1,66440,78,0,1954,44
Partial College,Clerical,M,M,1,1,0,1,50104,65,0,1954,44
Partial College,Clerical,F,M,1,1,0,1,52389,45,0,1955,43
Partial College,Clerical,F,M,1,1,0,1,38807,47,0,1955,43
Partial College,Clerical,M,M,1,1,0,1,53359,74,0,1955,43
Partial College,Clerical,M,M,1,1,0,1,45242,69,0,1955,43
Graduate Degree,Skilled Manual,F,S,1,0,0,5,105178,49,0,1955,43
Graduate Degree,Skilled Manual,F,S,1,0,0,5,107926,47,0,1955,43
Partial College,Clerical,F,M,1,1,0,1,47744,46,0,1956,42
Partial College,Clerical,F,M,1,1,0,1,47258,43,0,1956,42
Partial College,Clerical,M,M,1,1,0,1,59926,73,0,1956,42
Partial College,Clerical,M,M,1,1,0,1,50596,74,0,1956,42
Partial College,Clerical,M,M,1,1,0,1,60761,75,0,1956,42
Partial College,Clerical,M,M,1,1,0,1,59932,75,0,1956,42
Partial College,Clerical,M,M,1,1,0,1,63226,80,0,1956,42
Partial College,Clerical,F,M,1,1,0,1,57608,50,0,1957,41
Partial College,Clerical,F,M,1,1,0,1,50292,48,0,1957,41
Partial College,Clerical,M,M,1,1,0,1,59795,71,1,1957,41
Partial College,Clerical,M,M,1,1,0,1,44510,72,0,1957,41
Partial College,Clerical,M,M,1,1,0,1,49776,70,0,1957,41
Partial College,Clerical,F,M,1,1,0,1,29994,45,0,1957,41
Partial College,Clerical,M,M,1,1,0,1,57404,69,0,1957,41
Graduate Degree,Skilled Manual,M,M,1,0,0,4,140452,90,0,1958,40
Graduate Degree,Skilled Manual,M,M,0,0,0,4,135017,85,0,1958,40
Graduate Degree,Skilled Manual,F,S,1,0,0,4,106941,53,0,1958,40
Graduate Degree,Skilled Manual,F,S,1,0,0,4,117986,53,0,1958,40
Graduate Degree,Skilled Manual,F,S,1,0,0,4,122743,58,0,1958,40
Graduate Degree,Skilled Manual,F,S,1,0,0,4,113957,50,1,1958,40
Graduate Degree,Skilled Manual,M,S,1,0,0,4,107556,82,1,1959,39
Graduate Degree,Skilled Manual,F,S,1,0,0,4,89275,49,1,1959,39
Graduate Degree,Skilled Manual,F,S,0,0,0,4,87125,49,0,1959,39
Graduate Degree,Skilled Manual,F,S,1,0,0,4,94635,53,0,1959,39
Graduate Degree,Skilled Manual,M,M,1,0,0,4,92710,79,0,1959,39
Graduate Degree,Skilled Manual,M,M,0,0,0,4,97195,79,0,1959,39
Graduate Degree,Skilled Manual,M,M,1,0,0,4,121552,87,0,1959,39
Graduate Degree,Skilled Manual,M,M,1,0,0,4,94692,81,1,1959,39
Graduate Degree,Skilled Manual,F,S,1,0,0,4,92218,48,1,1959,39
Partial College,Manual,F,M,1,1,1,1,14232,50,0,1968,30
Bachelors ,Clerical,M,M,1,0,0,1,64698,76,0,1968,30
Bachelors ,Clerical,M,M,1,0,1,1,68910,94,0,1968,30
Bachelors ,Clerical,F,S,0,0,1,1,58688,55,1,1968,30
Graduate Degree,Clerical,M,M,1,0,0,0,77781,77,0,1968,30
Graduate Degree,Clerical,M,M,1,0,0,0,78758,73,0,1968,30
Graduate Degree,Clerical,M,M,1,0,0,0,77077,76,0,1968,30
Graduate Degree,Clerical,M,S,1,0,0,0,70667,71,0,1968,30
Bachelors ,Clerical,F,M,1,0,0,0,53567,49,1,1968,30
Partial High School,Manual,F,M,0,1,3,3,10655,66,0,1967,31
Bachelors ,Clerical,M,M,1,1,0,1,72297,54,0,1926,72
Bachelors ,Clerical,M,M,1,0,1,1,54403,92,0,1967,31
Bachelors ,Clerical,M,M,1,0,1,1,71742,93,0,1967,31
Partial High School,Manual,M,S,1,1,4,4,23462,97,1,1966,32
High School,Manual,F,M,1,1,1,1,20024,49,0,1966,32
Bachelors ,Clerical,F,M,1,0,0,0,67122,49,0,1967,31
Bachelors ,Clerical,F,M,1,0,0,0,49296,51,0,1967,31
High School,Manual,M,S,1,0,2,2,14724,81,0,1966,32
Bachelors ,Clerical,M,S,0,1,1,1,64311,80,1,1966,32
Bachelors ,Clerical,M,M,1,1,1,1,50495,84,0,1966,32
Bachelors ,Clerical,F,M,1,1,1,1,65159,61,0,1966,32
Partial High School,Manual,F,S,1,2,3,4,15490,57,1,1965,33
High School,Manual,F,S,1,0,2,2,19646,57,1,1965,33
High School,Manual,F,S,1,1,2,2,22399,57,0,1965,33
High School,Manual,M,S,1,2,2,2,25331,82,1,1965,33
High School,Manual,F,S,1,2,2,2,17476,55,1,1964,34
High School,Manual,M,S,1,1,3,3,21081,91,1,1964,34
Partial High School,Manual,F,M,0,2,2,3,23353,58,0,1963,35
High School,Manual,M,M,0,1,3,3,29848,105,1,1963,35
High School,Manual,F,S,1,2,3,3,15413,52,1,1963,35
Partial College,Manual,M,M,0,0,2,2,54274,100,0,1963,35
Partial College,Professional,M,M,0,4,3,3,164943,141,1,1962,36
Partial College,Clerical,F,M,1,1,0,2,23065,37,0,1934,64
Partial College,Clerical,M,S,1,1,0,0,54915,67,0,1974,24
Bachelors ,Skilled Manual,F,M,1,0,0,1,43612,48,0,1965,33
Bachelors ,Skilled Manual,M,M,1,0,0,1,42364,72,0,1965,33
Partial College,Clerical,M,M,0,2,2,2,60204,100,1,1964,34
Partial College,Clerical,M,S,1,2,2,2,41064,89,1,1964,34
Partial College,Clerical,M,S,1,2,2,2,40833,87,1,1964,34
Bachelors ,Skilled Manual,F,M,1,0,0,1,47733,48,0,1964,34
Bachelors ,Skilled Manual,F,M,1,0,0,1,39325,47,0,1964,34
Partial College,Clerical,F,S,1,2,2,2,37209,60,0,1963,35
Partial College,Clerical,F,S,1,2,2,2,45884,58,0,1963,35
Partial College,Clerical,F,M,0,0,3,3,54857,73,0,1963,35
Partial College,Clerical,F,S,1,2,3,3,46651,64,1,1979,19
Partial College,Clerical,F,S,1,2,3,3,50367,60,1,1979,19
Partial College,Clerical,F,S,1,2,3,3,49844,69,1,1979,19
